"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","24-Jan-2017","       2306.70","       2304.00","       2323.00","       2290.00","       2320.00","       2318.35","       2310.20","    1141319","          2636671177.10","     105986","     865316","         75.82"
"TCS","EQ","25-Jan-2017","       2318.35","       2322.60","       2360.00","       2318.05","       2357.00","       2353.00","       2342.18","    2055824","          4815099961.10","      97383","    1547526","         75.28"
"TCS","EQ","27-Jan-2017","       2353.00","       2345.05","       2378.75","       2345.05","       2359.00","       2357.80","       2364.53","    1435829","          3395067791.25","      92758","    1211620","         84.38"
"TCS","EQ","30-Jan-2017","       2357.80","       2341.00","       2351.95","       2318.15","       2338.85","       2332.90","       2332.50","    1288978","          3006538347.50","      69978","    1088546","         84.45"
"TCS","EQ","31-Jan-2017","       2332.90","       2320.00","       2332.05","       2200.05","       2232.00","       2229.80","       2241.50","    2333402","          5230322456.45","     110541","    1429985","         61.28"
"TCS","EQ","01-Feb-2017","       2229.80","       2220.00","       2239.95","       2155.55","       2164.90","       2167.90","       2175.80","    2432076","          5291712358.55","     132666","    1376549","         56.60"
"TCS","EQ","02-Feb-2017","       2167.90","       2170.05","       2219.00","       2153.00","       2204.45","       2207.65","       2181.08","    3004741","          6553591202.10","     144956","    1934670","         64.39"
"TCS","EQ","03-Feb-2017","       2207.65","       2209.70","       2243.00","       2191.00","       2238.80","       2232.55","       2221.59","    1076686","          2391954120.75","      54554","     607431","         56.42"
"TCS","EQ","06-Feb-2017","       2232.55","       2258.00","       2258.50","       2214.95","       2242.00","       2240.75","       2234.09","    1204455","          2690866087.95","      64627","     831461","         69.03"
"TCS","EQ","07-Feb-2017","       2240.75","       2244.00","       2252.60","       2226.00","       2245.90","       2244.60","       2243.18","     907319","          2035275817.50","      34002","     668176","         73.64"
"TCS","EQ","08-Feb-2017","       2244.60","       2244.90","       2282.60","       2244.05","       2281.00","       2270.95","       2270.63","    1106292","          2511976963.50","      58066","     783883","         70.86"
"TCS","EQ","09-Feb-2017","       2270.95","       2275.00","       2328.00","       2270.20","       2317.00","       2317.30","       2307.82","    2016601","          4653944449.75","     112590","    1620147","         80.34"
"TCS","EQ","10-Feb-2017","       2317.30","       2311.00","       2424.45","       2311.00","       2382.90","       2397.95","       2363.49","    2891080","          6833046948.55","     145483","    2117700","         73.25"
"TCS","EQ","13-Feb-2017","       2397.95","       2396.00","       2429.00","       2382.35","       2409.10","       2414.25","       2410.42","    1909906","          4603667356.80","     104603","    1222149","         63.99"
"TCS","EQ","14-Feb-2017","       2414.25","       2419.65","       2419.65","       2398.00","       2398.15","       2406.25","       2409.94","    1016664","          2450097017.95","      76040","     735744","         72.37"
"TCS","EQ","15-Feb-2017","       2406.25","       2397.00","       2428.00","       2375.10","       2423.45","       2413.70","       2405.57","     962486","          2315327647.20","      57071","     542885","         56.40"
"TCS","EQ","16-Feb-2017","       2413.70","       2460.00","       2478.00","       2435.60","       2450.00","       2447.75","       2452.74","    2087840","          5120936862.50","      99962","    1227336","         58.78"
"TCS","EQ","17-Feb-2017","       2447.75","       2472.00","       2475.60","       2402.00","       2415.00","       2407.90","       2421.27","    1361662","          3296953905.50","      64946","     826265","         60.68"
"TCS","EQ","20-Feb-2017","       2407.90","       2425.00","       2555.00","       2408.10","       2505.00","       2502.20","       2478.91","    1986974","          4925531623.15","      84695","     885808","         44.58"
"TCS","EQ","21-Feb-2017","       2502.20","       2514.00","       2525.90","       2455.15","       2461.50","       2465.35","       2490.33","    2750556","          6849804248.20","     102552","    1154293","         41.97"
"TCS","EQ","22-Feb-2017","       2465.35","       2465.90","       2470.00","       2400.15","       2409.95","       2411.50","       2424.50","    2252748","          5461797325.10","     101642","    1583569","         70.29"
"TCS","EQ","23-Feb-2017","       2411.50","       2415.00","       2493.25","       2415.00","       2479.00","       2481.80","       2467.63","    2426676","          5988140300.35","     120055","    1527553","         62.95"
"TCS","EQ","27-Feb-2017","       2481.80","       2479.10","       2502.00","       2470.05","       2492.00","       2489.85","       2489.22","    1069946","          2663332100.20","      44416","     585722","         54.74"
"TCS","EQ","28-Feb-2017","       2489.85","       2489.50","       2490.00","       2450.00","       2460.00","       2466.25","       2465.70","    1177414","          2903153878.20","      58003","     671675","         57.05"
"TCS","EQ","01-Mar-2017","       2466.25","       2479.90","       2501.90","       2470.00","       2475.30","       2479.55","       2486.14","     565187","          1405135909.70","      36305","     243067","         43.01"
"TCS","EQ","02-Mar-2017","       2479.55","       2486.70","       2510.00","       2470.05","       2503.20","       2501.45","       2497.75","     772471","          1929438451.65","      44956","     401595","         51.99"
"TCS","EQ","03-Mar-2017","       2501.45","       2492.00","       2499.70","       2475.40","       2490.00","       2494.05","       2488.47","     506985","          1261617129.00","      33930","     256327","         50.56"
"TCS","EQ","06-Mar-2017","       2494.05","       2480.00","       2484.00","       2454.55","       2477.40","       2472.50","       2467.59","     700347","          1728171968.70","      31798","     336942","         48.11"
"TCS","EQ","07-Mar-2017","       2472.50","       2482.90","       2505.00","       2475.05","       2505.00","       2499.80","       2494.54","     755836","          1885463741.35","      40150","     457797","         60.57"
